Date,BA,CAH,F,JPM,MAR
2012-01-01,60.698341369628906,31.887069702148438,8.279083251953125,27.68984603881836,30.73444938659668
2012-02-01,61.328426361083984,30.790328979492188,8.284809112548828,29.33970832824707,31.47492218017578
2012-03-01,61.21199417114258,31.94635772705078,8.351730346679688,34.37919616699219,33.866424560546875
2012-04-01,63.2120475769043,31.48015785217285,7.548677921295166,32.1360969543457,34.97591781616211
2012-05-01,57.294166564941406,30.817340850830078,7.097440719604492,24.948471069335938,34.63591384887695
2012-06-01,61.51334762573242,31.279077529907227,6.445497035980225,26.890159606933594,35.191524505615234
2012-07-01,61.19046401977539,32.27973937988281,6.210260391235352,27.093366622924805,32.69580078125
2012-08-01,59.11241912841797,29.627853393554688,6.277470111846924,28.18437385559082,33.82695007324219
2012-09-01,57.96774673461914,29.193340301513672,6.663022041320801,30.71898651123047,35.22370147705078
2012-10-01,58.6673583984375,30.999774932861328,7.541513919830322,31.6296329498291,32.86344528198242
2012-11-01,61.865562438964844,30.487255096435547,7.775007247924805,31.404542922973633,32.69227981567383
2012-12-01,63.15089416503906,31.037464141845703,8.79356861114502,33.613868713378906,33.698699951171875
2013-01-01,61.90229797363281,33.24074935913086,8.79356861114502,35.96845626831055,36.14902114868164
2013-02-01,64.44139099121094,35.0617561340332,8.625746726989746,37.65492630004883,35.66980743408203
2013-03-01,72.40349578857422,31.579103469848633,8.995129585266113,36.53113555908203,38.31268310546875
2013-04-01,77.09265899658203,33.772037506103516,9.378191947937012,37.724212646484375,39.065704345703125
2013-05-01,83.5107192993164,35.864646911621094,10.725751876831055,42.282012939453125,38.11308288574219
2013-06-01,86.83936309814453,36.047943115234375,10.659855842590332,40.88783645629883,36.76898193359375
2013-07-01,89.09427642822266,38.4976806640625,11.631438255310059,43.16497039794922,37.8619384765625
2013-08-01,88.09398651123047,38.64371109008789,11.221684455871582,39.42278289794922,36.422882080078125
2013-09-01,100.05924224853516,40.0809440612793,11.693008422851562,40.327796936035156,38.47071838378906
2013-10-01,111.12964630126953,45.34695053100586,11.859355926513672,40.210758209228516,41.232994079589844
2013-11-01,114.3230209350586,49.93883514404297,11.906174659729004,44.97110366821289,43.0074348449707
2013-12-01,116.65411376953125,51.64728546142578,10.755989074707031,45.961387634277344,45.30253982543945
2014-01-01,107.05613708496094,52.821041107177734,10.428360939025879,43.509273529052734,45.25663375854492
2014-02-01,110.18424224853516,55.54673385620117,10.814093589782715,44.94880676269531,49.78231430053711
2014-03-01,107.8576431274414,54.343074798583984,10.96165657043457,48.02608871459961,51.58832550048828
2014-04-01,110.89166259765625,54.21570587158203,11.348124504089355,44.2843017578125,53.34724044799805
2014-05-01,116.24626922607422,55.089263916015625,11.642179489135742,44.237037658691406,56.74531936645508
2014-06-01,109.96675872802734,53.4747200012207,12.208703994750977,45.868953704833984,59.230281829833984
2014-07-01,104.13262939453125,56.163089752197266,12.052909851074219,45.90876770019531,59.79393768310547
2014-08-01,109.5950927734375,57.769996643066406,12.417436599731445,47.656585693359375,64.12763977050781
2014-09-01,110.76315307617188,58.7263069152832,10.548758506774902,48.28986740112305,64.78114318847656
2014-10-01,108.6153793334961,61.79689407348633,10.049493789672852,48.482261657714844,70.2027359008789
2014-11-01,116.83259582519531,64.71823120117188,11.319121360778809,48.5506591796875,73.02011108398438
2014-12-01,113.68342590332031,63.56861877441406,11.153614044189453,50.503662109375,72.50367736816406
2015-01-01,127.14385223388672,65.78369140625,10.5851411819458,43.886043548583984,69.22367858886719
2015-02-01,131.93687438964844,69.57938385009766,11.878050804138184,49.77265930175781,77.214599609375
2015-03-01,132.0752716064453,71.38233184814453,11.732664108276367,49.2041130065918,74.81342315673828
2015-04-01,126.1438217163086,66.9479751586914,11.48550796508789,51.380855560302734,74.56192779541016
2015-05-01,123.66211700439453,69.98818969726562,11.131509780883789,53.78276443481445,72.64315032958984
2015-06-01,122.86039733886719,66.40026092529297,11.014103889465332,55.40164566040039,69.50474548339844
2015-07-01,127.68730163574219,67.76081848144531,10.882024765014648,56.03121566772461,67.84164428710938
2015-08-01,115.7396011352539,65.59993743896484,10.281583786010742,52.751712799072266,66.01969909667969
2015-09-01,116.71868133544922,61.25425338745117,10.059197425842285,50.175838470458984,63.9404182434082
2015-10-01,131.9781494140625,65.87467956542969,10.978389739990234,52.875160217285156,71.9845199584961
2015-11-01,129.64285278320312,69.60118865966797,10.730672836303711,55.27088928222656,66.48114776611328
2015-12-01,129.6731414794922,71.54054260253906,10.550954818725586,54.732112884521484,63.06673049926758
2016-01-01,107.73660278320312,65.48851013183594,8.940979957580566,49.31941223144531,57.64810562133789
2016-02-01,105.98778533935547,65.75409698486328,9.683758735656738,46.979984283447266,64.11095428466797
2016-03-01,114.89752960205078,65.95528411865234,10.450098037719727,49.41661071777344,67.21293640136719
2016-04-01,122.01187133789062,63.44655990600586,10.49654483795166,52.73775863647461,66.18368530273438
2016-05-01,114.18247985839844,63.8427848815918,10.557528495788574,54.86832046508789,62.359405517578125
2016-06-01,118.50838470458984,63.08266830444336,9.837519645690918,52.23713684082031,63.03716278076172
2016-07-01,121.96684265136719,68.00782012939453,9.907954216003418,53.77549362182617,68.00728607177734
2016-08-01,118.12515258789062,64.81080627441406,9.969123840332031,57.18467330932617,67.65635681152344
2016-09-01,121.21105194091797,63.20823669433594,9.549787521362305,56.413726806640625,63.86236572265625
2016-10-01,131.04666137695312,56.20111846923828,9.288691520690918,58.67569351196289,65.44249725341797
2016-11-01,138.52688598632812,58.099308013916016,9.580644607543945,68.41216278076172,75.0445556640625
