,Tenor,DF,r
0,0.0,1.0,0.0
1,0.25,0.9952875,0.0188945553456537
2,0.5,0.9898,0.020504752928702463
3,1.0,0.9775,0.022756987122616278
4,2.0,0.9507010270542016,0.025277821652035272
5,5.0,0.8710028247446769,0.027622011805927667
6,10.0,0.7490600758599811,0.028893609059065205
7,30.0,0.40344855190656775,0.03025687679900458
