Date,BA,CAH,F,JPM,MAR
2012-01-02,60.53472137451172,30.79775047302246,7.805804252624512,26.24968147277832,28.31673240661621
2012-01-09,61.04202651977539,30.56800651550293,8.02578067779541,26.85733985900879,29.91366958618164
2012-01-16,61.794830322265625,31.598058700561523,8.392404556274414,27.934040069580078,31.082387924194336
2012-01-23,61.00111389160156,31.375768661499023,8.139098167419434,27.821884155273438,30.841503143310547
2012-01-30,62.46580505371094,31.160852432250977,8.559183120727539,28.621923446655273,32.23326110839844
2012-02-06,61.32842254638672,31.03486442565918,8.324959754943848,28.120960235595703,31.867469787597656
2012-02-13,62.01858139038086,30.768095016479492,8.532416343688965,28.76397132873535,31.162670135498047
2012-02-20,62.60297775268555,31.160852432250977,8.184427261352539,28.621923446655273,30.984243392944336
2012-02-27,61.64821243286133,30.41240119934082,8.512340545654297,30.379024505615234,31.987443923950195
2012-03-05,60.32307815551758,31.286827087402344,8.418649673461914,30.67809295654297,33.58904266357422
2012-03-12,61.8951416015625,30.81996726989746,8.371805191040039,33.32493591308594,34.12589645385742
2012-03-19,60.88275146484375,31.25718879699707,8.244656562805176,33.766090393066406,33.75010299682617
2012-03-26,61.211997985839844,31.946352005004883,8.351730346679688,34.37919616699219,33.866424560546875
2012-04-02,60.56998062133789,31.10778045654297,8.345036506652832,33.15296173095703,33.80379104614258
2012-04-09,60.0185432434082,30.18431282043457,7.97697114944458,32.519569396972656,33.38325500488281
2012-04-16,60.53707504272461,30.94394302368164,7.635674953460693,32.150794982910156,34.80592727661133
2012-04-23,63.598907470703125,31.509944915771484,7.762826919555664,32.617393493652344,35.369598388671875
2012-04-30,62.421905517578125,31.80038833618164,7.140461444854736,31.420766830444336,35.145912170410156
2012-05-07,60.5452880859375,31.643991470336914,7.1108808517456055,27.815847396850586,35.199607849121094
2012-05-14,57.24962615966797,30.504539489746094,6.727781772613525,25.204355239868164,32.95378112792969
2012-05-21,57.953346252441406,31.033308029174805,7.124322414398193,25.211877822875977,34.68878936767578
2012-05-28,55.668338775634766,30.18431282043457,6.8017120361328125,24.030305862426758,32.758636474609375
2012-06-04,57.90367126464844,31.204605102539062,7.164649963378906,25.347341537475586,33.93468475341797
2012-06-11,59.600887298583984,31.629104614257812,6.956298828125,26.363344192504883,34.096275329589844
2012-06-18,59.5760498046875,31.0407657623291,6.848762035369873,27.085845947265625,34.832427978515625
2012-06-25,61.51333236694336,31.279088973999023,6.445496559143066,26.89015769958496,35.191524505615234
2012-07-02,61.008304595947266,31.29090118408203,6.385007381439209,25.51291275024414,35.37107849121094
2012-07-09,60.859275817871094,31.845239639282227,6.2304229736328125,27.37238121032715,32.57011795043945
2012-07-16,61.173892974853516,32.28723907470703,6.190097332000732,25.72563934326172,33.08183670043945
2012-07-23,62.51510238647461,31.717893600463867,6.048953533172607,27.994657516479492,33.11773681640625
2012-07-30,60.27975082397461,29.395618438720703,6.109444618225098,27.38755989074707,33.71025848388672
2012-08-06,61.438819885253906,30.167213439941406,6.31838321685791,28.05536460876465,33.162628173828125
2012-08-13,61.19043731689453,29.740211486816406,6.507594585418701,28.06295394897461,34.15913391113281
2012-08-20,59.208717346191406,29.755203247070312,6.412990093231201,28.207134246826172,33.18955612182617
2012-08-27,59.466922760009766,29.627836227416992,6.311624050140381,28.184370040893555,33.94448471069336
2012-09-03,60.707916259765625,28.698930740356445,6.852235794067383,29.823532104492188,35.45792007446289
2012-09-10,59.36696243286133,28.743877410888672,7.115782737731934,31.546157836914062,37.47584533691406
2012-09-17,58.275901794433594,28.92367172241211,7.027932167053223,31.02254295349121,36.42184829711914
2012-09-24,57.96774673461914,29.193355560302734,6.663021564483643,30.718996047973633,35.223690032958984
2012-10-01,59.042144775390625,30.540002822875977,6.865750312805176,31.652400970458984,34.493995666503906
2012-10-08,59.84169006347656,30.818870544433594,6.838718414306641,31.81736183166504,34.376888275146484
2012-10-15,61.64068603515625,31.097759246826172,6.879265308380127,32.35250473022461,33.809349060058594
2012-10-22,59.22536849975586,30.47217559814453,7.000903129577637,31.465709686279297,33.169734954833984
2012-10-29,58.34253692626953,30.97715950012207,7.548273086547852,32.4289436340332,33.05262756347656
2012-11-05,61.00773239135742,30.14808464050293,7.421907901763916,31.052886962890625,32.016632080078125
2012-11-12,59.30450439453125,29.673254013061523,7.129920482635498,30.219614028930664,31.01667594909668
2012-11-19,61.79334259033203,30.14055061340332,7.537344932556152,31.412206649780273,31.746376037597656
2012-11-26,62.245849609375,30.487253189086914,7.77501106262207,31.404558181762695,32.812599182128906
2012-12-03,62.547515869140625,30.826412200927734,7.7953782081604,32.535972595214844,32.03499984741211
2012-12-10,62.0279655456543,31.896669387817383,7.537344932556152,32.72709274291992,32.64984893798828
2012-12-17,63.829647064208984,31.6780948638916,8.053414344787598,33.63681411743164,33.816246032714844
2012-12-24,62.58943176269531,30.690750122070312,8.739245414733887,33.05582046508789,32.984405517578125
2012-12-31,65.1033935546875,32.20885467529297,9.21457290649414,34.6765022277832,35.47088623046875
2013-01-07,62.9832878112793,32.67170333862305,9.50655746459961,35.515106201171875,35.15441131591797
2013-01-14,62.88274383544922,33.870521545410156,9.581254959106445,35.76142501831055,35.50705337524414
2013-01-21,62.874351501464844,34.06780242919922,9.289267539978027,36.300228118896484,35.76926803588867
2013-01-28,62.74029541015625,33.29387664794922,8.841103553771973,36.83133316040039,36.429317474365234
2013-02-04,64.15648651123047,34.28025436401367,8.960929870605469,37.43171691894531,37.044151306152344
2013-02-11,62.874351501464844,35.43353271484375,8.906204223632812,37.624141693115234,37.279239654541016
