Date,AAL,AGO,ALLY,AMD,AMGN,AMKR,APA,ARW,BA,C,CAH,F,GS,JPM,MAR,MS,WFC
2014-01-27,31.628982543945312,18.227481842041016,22.204227447509766,3.430000066757202,94.89952850341797,5.224353313446045,68.46340942382812,51.380001068115234,107.05615234375,39.82069396972656,52.82105255126953,10.325380325317383,142.48207092285156,43.79384231567383,45.25664138793945,24.19746971130371,35.25379180908203
2014-02-03,33.62758255004883,19.106538772583008,22.6231689453125,3.4700000286102295,94.85966491699219,5.1159234046936035,69.43585205078125,52.40999984741211,108.56034851074219,41.432899475097656,52.44831085205078,10.415099143981934,140.58079528808594,44.790592193603516,45.20156478881836,24.385534286499023,35.27711868286133
2014-02-10,32.43973922729492,20.140718460083008,22.6231689453125,3.690000057220459,98.80083465576172,5.19478178024292,71.13335418701172,55.689998626708984,111.2440414428711,41.58405303955078,54.568294525146484,10.602947235107422,142.13482666015625,46.000946044921875,47.29456329345703,24.385534286499023,36.11001968383789
2014-03-10,34.259220123291016,22.054170608520508,23.670543670654297,3.8499999046325684,98.26193237304688,6.03264856338501,67.58477020263672,53.650001525878906,105.81208038330078,39.36712646484375,56.13692855834961,10.491630554199219,144.03448486328125,44.93297576904297,49.61763000488281,25.54361915588379,37.104156494140625
2014-03-17,34.04239273071289,22.34857749938965,23.670543670654297,4.039999961853027,98.57465362548828,6.397367000579834,68.84725189208984,57.400001525878906,105.35652160644531,42.05430603027344,54.544986724853516,10.762965202331543,145.42820739746094,47.59890365600586,50.879249572753906,26.775625228881836,38.450565338134766
2014-03-24,33.36362075805664,21.7597713470459,24.159311294555664,3.880000114440918,96.66619873046875,6.54522705078125,70.8177261352539,57.36000061035156,106.97237396240234,39.67784118652344,54.11012268066406,10.749049186706543,141.3777313232422,47.496063232421875,51.054203033447266,25.387561798095703,38.5836296081543
2014-03-31,34.46662521362305,21.448049545288086,24.159311294555664,4.010000228881836,95.51148986816406,7.008519172668457,72.90760803222656,59.63999938964844,109.48209381103516,39.56026840209961,53.82571792602539,11.222147941589355,142.19647216796875,47.31412124633789,51.3857307434082,24.944042205810547,38.794986724853516
2014-04-07,31.751535415649414,20.781314849853516,20.95296859741211,3.6500000953674316,89.76205444335938,6.850802421569824,70.0244140625,57.70000076293945,104.91819763183594,38.359432220458984,51.58720779418945,10.874283790588379,133.03262329101562,44.02210998535156,50.9252815246582,23.38349723815918,37.63645553588867
2014-04-14,33.373046875,20.68606948852539,20.675899505615234,3.690000057220459,92.58464050292969,6.919803619384766,72.60054016113281,59.41999816894531,109.94619750976562,40.49238204956055,53.139339447021484,11.131702423095703,137.14422607421875,43.95842742919922,51.800132751464844,25.264358520507812,38.301822662353516
2014-04-21,33.938690185546875,20.469600677490234,21.117473602294922,4.050000190734863,89.3370590209961,7.057804584503174,74.67340087890625,56.459999084472656,110.58223724365234,40.09769821166992,52.413978576660156,10.978642463684082,137.84109497070312,44.340538024902344,52.70261001586914,25.11652183532715,38.395774841308594
2014-04-28,34.40064239501953,21.17096519470215,20.823091506958008,4.119999885559082,90.1469497680664,8.358963012695312,74.39958190917969,56.58000183105469,111.68238830566406,40.08090591430664,49.7620735168457,11.06213092803955,138.39854431152344,44.24500274658203,54.415462493896484,25.206871032714844,38.81064224243164
2014-05-05,36.06928634643555,22.114782333374023,21.810134887695312,3.869999885559082,89.39318084716797,8.74339771270752,76.05082702636719,55.08000183105469,112.67940521240234,39.46773910522461,50.23786544799805,11.057428359985352,136.93511962890625,42.99518585205078,53.56824493408203,24.45729637145996,38.419246673583984
2014-05-12,36.32383346557617,20.945837020874023,20.96162223815918,4.019999980926514,89.76205444335938,9.236259460449219,75.95672607421875,56.2599983215332,113.06098175048828,39.00577926635742,51.283016204833984,11.050416946411133,136.2643585205078,42.437957763671875,53.734004974365234,24.836353302001953,38.69513702392578
2014-05-19,36.8706169128418,21.52597999572754,20.849071502685547,4.019999980926514,92.18179321289062,9.393977165222168,77.15451049804688,57.189998626708984,114.44390106201172,39.71971130371094,53.459129333496094,11.232722282409668,139.5135040283203,43.409141540527344,54.5720100402832,25.124759674072266,39.5466194152832
2014-05-26,37.86050033569336,21.2415828704834,20.398834228515625,4.0,93.52021026611328,9.965699195861816,79.75542449951172,57.70000076293945,116.8985595703125,39.95487976074219,55.08927536010742,11.52721118927002,139.2086181640625,44.2370491027832,56.93868637084961,25.429651260375977,40.035423278808594
2014-06-02,41.36750411987305,21.98094940185547,20.4334716796875,4.059999942779541,94.99574279785156,10.596564292907715,80.68798828125,59.18000030517578,119.49149322509766,41.09718704223633,55.198463439941406,11.975957870483398,145.26004028320312,45.35152816772461,58.07524108886719,26.327852249145508,40.98151779174805
2014-06-09,38.067909240722656,22.15491485595703,21.610992431640625,4.28000020980835,93.5524673461914,11.533005714416504,83.55412292480469,59.689998626708984,114.3401870727539,39.97169876098633,52.84294128417969,11.611350059509277,144.99786376953125,45.40724563598633,56.7169303894043,26.031204223632812,40.91844940185547
2014-06-16,41.99912643432617,23.050861358642578,21.628313064575195,4.099999904632568,97.5354995727539,10.695137023925781,86.14644622802734,60.040000915527344,114.17596435546875,39.76171112060547,53.919315338134766,11.688477516174316,148.45040893554688,45.813236236572266,58.73130416870117,26.60802459716797,41.698970794677734
2014-06-23,41.48062515258789,21.554725646972656,20.94430923461914,4.110000133514404,95.6165542602539,10.724709510803223,85.3508071899414,60.31999969482422,111.09899139404297,39.59372329711914,53.94272232055664,12.116191864013672,145.77577209472656,45.79731750488281,59.11940002441406,25.998239517211914,41.70685958862305
