,T,DF,r,fwd
0,0.0,1.0,0.0,0.0
1,0.25,0.9952875,0.01889455534565342,0.0188945553456537
2,0.5,0.9898,0.020504752928702706,0.022114950511752354
3,0.75,0.983630774223743,0.022006242391311687,0.025009221316529204
4,1.0,0.9775,0.02275698712261618,0.02500922131653009
5,1.25,0.9707302543715326,0.023765320934383823,0.02779865618145392
6,1.5,0.9640073930969005,0.024437543475562252,0.0277986561814548
7,1.75,0.9573310914751838,0.024917702433546844,0.0277986561814548
8,2.0,0.9507010270542016,0.02527782165203529,0.0277986561814548
9,2.25,0.9437897646155837,0.025711930939793137,0.029184805241855814
10,2.5,0.9369287446266279,0.026059218369999415,0.029184805241855814
11,2.75,0.9301176018423779,0.026343362631077272,0.029184805241855814
12,3.0,0.9233559736730795,0.02658014951530883,0.029184805241855814
13,3.25,0.9166435001648793,0.02678050764812014,0.029184805241855814
14,3.5,0.9099798239806611,0.02695224319052984,0.029184805241856696
15,3.75,0.903364590381025,0.02710108066061824,0.029184805241855814
16,4.0,0.8967974472054009,0.0272313134469456,0.029184805241856696
17,4.25,0.890278044853303,0.02734622472899914,0.029184805241855814
18,4.5,0.8838060362657179,0.027448368090824522,0.029184805241855814
19,4.75,0.8773810769066294,0.02753975951982617,0.029184805241855814
20,5.0,0.8710028247446769,0.02762201180592766,0.029184805241855814
21,5.25,0.8644590351261822,0.027743116306226473,0.030165206312202503
22,5.5,0.8579644085888563,0.027853211306498118,0.030165206312202503
23,5.75,0.8515185757735522,0.02795373282848528,0.030165206312203385
24,6.0,0.8451211700960954,0.028045877556973506,0.030165206312203385
25,6.25,0.8387718277264354,0.028130650707182677,0.030165206312202503
26,6.5,0.8324701875679537,0.02820890284583729,0.030165206312202503
27,6.75,0.8262158912369281,0.028281358529776753,0.030165206312202503
28,7.0,0.8200085830421511,0.02834863880772054,0.030165206312202503
29,7.25,0.8138479099647006,0.028411279066495786,0.030165206312203385
30,7.5,0.8077335216378639,0.02846974330801935,0.030165206312202503
31,7.75,0.8016650703272112,0.02852443566299301,0.030165206312202503
32,8.0,0.7956422109108198,0.02857570974578081,0.030165206312202503
33,8.25,0.7896646008596461,0.028623876308399656,0.030165206312203385
34,8.5,0.7837319002180461,0.02866920954380563,0.030165206312202503
35,8.75,0.7778437715844411,0.028711952308616975,0.030165206312202503
36,9.0,0.7719998800921292,0.028752320475383245,0.030165206312202503
37,9.25,0.7661998933902411,0.02879050657908107,0.030165206312202503
38,9.5,0.7604434816248389,0.028826682887847427,0.030165206312202503
39,9.75,0.7547303174201563,0.02886100400129244,0.030165206312203385
40,10.0,0.7490600758599811,0.028893609059065194,0.030165206312202503
