,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0
AAL,0.0,69.09,120.72,172.35,262.375,352.4,388.23,424.06,441.1533333333333,458.24666666666667,475.34
ALLY,0.0,38.51,60.035,81.56,109.5,137.44,157.56,177.68,182.79,187.9,193.01
AMD,0.0,40.85,58.69500000000001,76.54,109.495,142.45,169.78,197.11,204.64000000000001,212.17,219.7
AMKR,0.0,44.94,77.475,110.01,161.355,212.7,270.015,327.33,333.11333333333334,338.89666666666665,344.68
F,0.0,30.3,43.04,55.78,91.015,126.25,155.88,185.51,189.67,193.83,197.99
