,AAL,ALLY,AMD,AMKR,F
0,0.867045221086831,0.675213714645678,0.512629675164568,0.309503020571224,0.573711693231637
1,0.267503865752558,0.471591416449201,0.799025825888229,0.600000061124151,0.689772727272729
2,0.844499377275878,0.864504457195623,0.705682570059031,0.980681818181822,0.364772121497082
3,0.465404833624819,0.471591416449201,0.735246752267174,0.826020861748626,0.773863636363639
4,0.385093843553983,0.689331587505682,0.244318181818183,0.646470816052712,0.462499001487553
5,0.73693861895642,0.471591416449201,0.639758462036909,0.852152991953775,0.878409090909094
6,0.0820174760056976,0.0125,0.0715917705808272,0.296889614450902,0.182954668003511
7,0.815611482244113,0.317045756142756,0.50568151748555,0.564914272912258,0.740547937240151
8,0.62814203217286,0.694318182314114,0.892045454545458,0.631674441839338,0.332954545454546
9,0.599729312198099,0.314676516965271,0.548863636363638,0.982954545454549,0.557137462597896
10,0.810227272727276,0.876136363984546,0.164644728750219,0.771665136214203,0.476136363636365
11,0.549331740487143,0.13435173441057,0.676175386482862,0.810120254433619,0.473863636363637
12,0.608418448578758,0.407995897995724,0.444318181818183,0.615837314419053,0.669318181844191
13,0.685245174518347,0.251682305959704,0.413163566023478,0.828317685430007,0.776456023800484
14,0.937535405249281,0.495662460817319,0.535227888811473,0.840765465703465,0.862500000000003
15,0.0738771275290346,0.935127110792282,0.751402551346774,0.910227272727276,0.191979049564117
16,0.953409090909095,0.487440393859014,0.228418751077093,0.107872485126331,0.548863636363638
17,0.421115700673152,0.191939461426098,0.456947530436775,0.49433773476293,0.844318377125621
18,0.176696805630554,0.380460548309742,0.632954545454548,0.664085692502963,0.507911639749371
19,0.708388516806757,0.151404729007476,0.619379554875174,0.450658864940389,0.571775273955577
20,0.505466426571265,0.793767476843973,0.0306818181818183,0.267019277047798,0.648863636364759
21,0.312019590924594,0.507945252389063,0.3420232975532,0.0693182232651275,0.42715849610522
22,0.177846466559434,0.11158595177774,0.763667895123721,0.102577406773574,0.121590909090909
23,0.172302745000735,0.504239266970994,0.666513504491189,0.361445049801352,0.751121860392906
24,0.831205311486596,0.898643898795247,0.45668883319959,0.782174667320085,0.635227272727274
25,0.625861395236929,0.722077734906236,0.614772727272729,0.883176854826087,0.401136363636365
26,0.342939379625289,0.396114813164637,0.337500021764296,0.684717687783999,0.644318181818184
27,0.334258657432575,0.613169788258265,0.416878790427484,0.283957577463536,0.321590909090954
28,0.473994879763458,0.267354785880331,0.212500000000001,0.116045968960079,0.176136363636364
29,0.32821823724112,0.181972860594023,0.257044097172922,0.337281237787139,0.52159090909091
30,0.390611255788272,0.398671497014932,0.1817898286455,0.277893228912247,0.285227272727274
31,0.55947009500892,0.181363525897835,0.178409091049638,0.187378551246897,0.0193181818181819
32,0.0193181818181819,0.0401392950155025,0.0125,0.0056818181818182,0.0852110580656411
33,0.932625789338843,0.803429013473879,0.444318181818183,0.18101106392135,0.673862656846986
34,0.985227272727277,0.521539901514996,0.365057408299033,0.933460632436378,0.295359846553192
35,0.773724294129416,0.870006937311453,0.714285726026671,0.0598482379884376,0.728442041614599
36,0.805691352054076,0.463428059342024,0.403401522188751,0.149234068676412,0.657954545454547
37,0.647674158367857,0.784147323765975,0.158504362543087,0.481853190799564,0.932954545454549
38,0.40113673286396,0.471591416449201,0.787440338638631,0.846590909090918,0.703345295017134
39,0.967050011745692,0.603685490939126,0.488594731405272,0.325325917997894,0.709979810883552
40,0.816189823056776,0.207952141365008,0.210227272727273,0.729647806859648,0.457954545454546
41,0.379122073961842,0.137497789238052,0.195089267526664,0.0783845194654335,0.126136363636364
42,0.604975442698957,0.881128153978345,0.566170214282214,0.928394158839501,0.514772727272728
43,0.679212805959491,0.76477272727273,0.628424705170844,0.72209870424039,0.800000038996722
44,0.769318234743086,0.310583320180922,0.495448984966099,0.411298774542753,0.421593779306156
45,0.271683026464362,0.571543286460628,0.361889790255881,0.123863558156327,0.376204984319446
46,0.230075819858977,0.0079545454545454,0.0693179930255438,0.489727930174106,0.348863636363637
47,0.962494579019873,0.511700856554203,0.594318319478358,0.59224813985659,0.410227282434647
48,0.0262886824879422,0.0375000000000001,0.732954553668069,0.134971052874582,0.339745826738933
49,0.393287263564531,0.889772727450458,0.97386363636364,0.952990869967807,0.951136363636367
50,0.548670037327403,0.989772727272731,0.688924356203306,0.994318181818186,0.794318181818185
51,0.836043183382861,0.340996944943551,0.295453038538817,0.679161492115684,0.544318181821747
52,0.139772727272728,0.105681818181819,0.54659090909091,0.831086278226666,0.446076719096106
53,0.518739276855872,0.617953483275215,0.159678228689409,0.333215470288153,0.230681818181873
54,0.682954545454547,0.442185519708478,0.17159090909091,0.226010779826431,0.678663693063279
55,0.971590909090913,0.568787449733804,0.554841181018698,0.58068204362337,0.682954551971959
56,0.166279045559795,0.193426591682142,0.295454677432006,0.110439308630286,0.194318181818182
57,0.119979911460261,0.480615286461772,0.382954545454546,0.585219491469355,0.51931696086999
58,0.304319497504304,0.552965352636992,0.603409101109714,0.51140133699311,0.481818181818183
59,0.567869339333362,0.455728560002681,0.151064405142249,0.165879399854103,0.298863636363637
60,0.944176379903112,0.143993609359571,0.046590909091066,0.281798117970843,0.489772727272728
61,0.135225994596421,0.982954545454549,0.468094928969898,0.0329487118137015,0.512500000000086
62,0.475978045724285,0.800023313558207,0.444318181818183,0.314770744135885,0.487500000000002
63,0.454209936371454,0.165541172432476,0.467563296268882,0.578621537118832,0.351136363636365
64,0.0215909090909092,0.755821871564111,0.346778054640804,0.205340578799839,0.335227272942087
65,0.471616155971953,0.497351952910315,0.444318181818183,0.445123961608048,0.419318181818183
